path,lang,label,technique,system_id,speaker_id,source,text,augmentation
data/processed/ko_augmented/zeroth_175_003_1068_aug.wav,ko,bonafide,real,-,zeroth_175,zeroth_korean,고영태 씨가 국정농단 사건의 내부 고발자에서 그래도 고영태 씨도 수사해야 된다 이런 이야기가 나온 결정적인 계기가 고영태 씨 녹취록이었습니다,rawboost
data/processed/ko_augmented/zeroth_172_003_1683_aug.wav,ko,bonafide,real,-,zeroth_172,zeroth_korean,사십 년 이상 공장을 운영하는 동안 폐수 무단 방류로 적발된 전례가 거의 없는 만큼 이번 성동구청의 발표를 심각한 사안으로 받아들이고 있다고 밝혔다,none
data/processed/en_augmented/LA_T_1506952_aug.wav,en,spoof,vc,A06,LA_0096,asvspoof2019la,,codec
data/processed/ko_augmented/zeroth_185_from_kss_01090_aug.wav,ko,spoof,vc,rvc_zeroth_185,zeroth_185,rvc_from_kss_speaker,소화가 안 될 때는 죽 같은 음식을 드세요.,none
data/processed/en_augmented/LA_T_2802903_aug.wav,en,bonafide,real,-,LA_0094,asvspoof2019la,,codec
data/processed/ko_augmented/zeroth_135_003_2130_aug.wav,ko,bonafide,real,-,zeroth_135,zeroth_korean,경찰도 김포경찰서장을 팀장으로 형사과와 경기남부청 과학수사팀 요원 등 일흔 여명을 투입해 수사 전담팀을 구성하고 사고 원인 조사에 본격적으로 착수했다,none
data/processed/en_augmented/LA_T_4916447_aug.wav,en,spoof,vc,A05,LA_0097,asvspoof2019la,,codec
data/processed/ko_augmented/zeroth_211_003_2874_aug.wav,ko,bonafide,real,-,zeroth_211,zeroth_korean,그곳에서 여호와의 천사가 불타는 덤불 가운데서 모세에게 나타났습니다,rawboost+codec
data/processed/en_augmented/LA_T_9574610_aug.wav,en,spoof,vc,A05,LA_0097,asvspoof2019la,,none
data/processed/ko_augmented/kss_10440_aug.wav,ko,spoof,tts,mms-tts-kor,vits_default,kss_transcript,웃겨서 죽을 뻔했어.,rawboost
data/processed/ko_augmented/kss_00580_aug.wav,ko,bonafide,real,-,kss_speaker,kss,어제 머리를 깎았어요.,codec
