path,lang,label,technique,system_id,speaker_id,source,text,augmentation
data/processed/ko_augmented/zeroth_129_003_2327_aug.wav,ko,bonafide,real,-,zeroth_129,zeroth_korean,합참의 예상이 맞다면 이번 발사는 올해 들어 여덟 번째 시험발사된 무수단 미사일이 된다,rawboost
data/processed/ko_augmented/zeroth_154_003_0827_aug.wav,ko,bonafide,real,-,zeroth_154,zeroth_korean,쿨리발리는 이천 년대 중반 세리프 쿠아치와 함께 파리제 십 구 구네트워크라는 자생적인 테러조직에 함께 가담한 적이 있다,rawboost+codec
data/processed/ko_mlaad_augmented/poisoned_pen_12_f000100_aug.wav,ko,spoof,tts,Qwen3-TTS-12Hz-1.7B-Base,-,mlaad,,codec
data/processed/ko_augmented/zeroth_189_003_0260_aug.wav,ko,bonafide,real,-,zeroth_189,zeroth_korean,가족생활 가치관에서 중심축이 자녀에서 개인 부부로 옮겨가고 있는 것으로 풀이된다,rawboost+codec
data/processed/ko_mlaad_augmented/the_sea_fairies_14_f000085_aug.wav,ko,spoof,tts,tts_models_multilingual_multi-dataset_bark,-,mlaad,,rawboost+codec
data/processed/ko_augmented/zeroth_157_003_2479_aug.wav,ko,bonafide,real,-,zeroth_157,zeroth_korean,통준위는 녹음 파일을 언론에 제공하지 말라고 주최 측에 요구했다고 한다,none
data/processed/ko_augmented/kss_10515_aug.wav,ko,spoof,tts,mms-tts-kor,vits_default,kss_transcript,밖이 아직 캄캄해.,rawboost
data/processed/ko_augmented/zeroth_197_003_0170_aug.wav,ko,bonafide,real,-,zeroth_197,zeroth_korean,지금 헬기에서 비춰주는 세월호 뒷부분을 보면 님께서 말씀하신 세 축 이게 그만큼 배가 빠져나온 겁니다,none
data/processed/ko_augmented/kss_04355_aug.wav,ko,bonafide,real,-,kss_speaker,kss,사람들이 마을 회관에 모여 있다.,none
data/processed/ko_augmented/zeroth_160_003_2182_aug.wav,ko,bonafide,real,-,zeroth_160,zeroth_korean,앞으로의 한 일 관계가 어떻게 되어야 하느냐는 질문에 다른 나라와 똑같이 전략적으로 생각해야 한다는 응답이 삼십 칠 쩜 팔 퍼센트로 가장 많았다,rawboost+codec
data/processed/ko_mlaad_augmented/emerald_city_of_oz_11_f000058_aug.wav,ko,spoof,tts,tts_models_multilingual_multi-dataset_bark,-,mlaad,,none
data/processed/ko_augmented/zeroth_160_003_1239_aug.wav,ko,bonafide,real,-,zeroth_160,zeroth_korean,아울러 획정 기준은 현행 공직선거법을 근거로 게리맨더링을 방지하고 지역대표성을 확보하는 등 기본 원칙을 지킨다는 방침이다,rawboost
data/processed/ko_augmented/kss_12377_aug.wav,ko,spoof,tts,mms-tts-kor,vits_default,kss_transcript,통화 중이에요.,rawboost
data/processed/ko_augmented/zeroth_188_003_2418_aug.wav,ko,bonafide,real,-,zeroth_188,zeroth_korean,서울도시철도 역시 육천 사백 칠십 오 억원의 수익을 냈으나 비용이 구천 이백 삼십 오 억원에 이르면서 이천 칠백 육십 억원의 적자를 냈다,none
data/processed/ko_mlaad_augmented/jane_eyre_26_f000094_aug.wav,ko,spoof,tts,OmniVoice,-,mlaad,,none
data/processed/ko_augmented/zeroth_106_003_0354_aug.wav,ko,bonafide,real,-,zeroth_106,zeroth_korean,설사 다수의 생각에 반하는 내용의 대자보가 붙더라도 학생들은 반박 대자보를 게재하거나 포스트잇에 자신의 의견을 담아 대자보 곁에 붙여놓지 대자보를 훼손하지는 않는다,codec
data/processed/ko_augmented/zeroth_212_003_1102_aug.wav,ko,bonafide,real,-,zeroth_212,zeroth_korean,스마트펜의 가능성과 상상력을 중시하는 이 대표의 패기에 반했지만 안정된 수입과 직장을 원하는 가족의 눈길을 외면할 수는 없었다,rawboost
data/processed/ko_augmented/zeroth_143_003_0437_aug.wav,ko,bonafide,real,-,zeroth_143,zeroth_korean,대부분 전기는 기업이 사용 가정용 전기에 누진제 적용하는 국가 거의 없어 많이 쓴다고 돈 더 내게 하는 상품이 어딨나,none
data/processed/ko_augmented/kss_01567_aug.wav,ko,bonafide,real,-,kss_speaker,kss,노약자석이나 장애인석에 앉으면 마음이 불편합니다.,none
data/processed/ko_augmented/zeroth_158_003_0189_aug.wav,ko,bonafide,real,-,zeroth_158,zeroth_korean,제주로 오기 전 직업은 사무 관리직이 가장 많고 자영업 판매 서비스직 순이나 이주 후 직업은 자영업 판매 서비스직 일 차 산업 순으로 나타났다,none
data/processed/ko_mlaad_augmented/midnight_passenger_01_f000060_aug.wav,ko,spoof,tts,MOSS-TTS-1.7B,-,mlaad,,none
data/processed/ko_augmented/zeroth_182_003_1508_aug.wav,ko,bonafide,real,-,zeroth_182,zeroth_korean,자기계발비가 너무 적어 가족당 외출을 한 달에 한 두 번밖에 못할 명세서도 등장했다,none
data/processed/ko_augmented/zeroth_173_003_1401_aug.wav,ko,bonafide,real,-,zeroth_173,zeroth_korean,검찰 관계자는 십 칠 일 내부 기류는 기본적으로 구속영장 청구가 불가피하다는 인식이라고 말했다,none
data/processed/ko_mlaad_augmented/jane_eyre_17_f000244_aug.wav,ko,spoof,tts,MOSS-TTS-1.7B,-,mlaad,,rawboost
data/processed/ko_augmented/zeroth_115_003_2145_aug.wav,ko,bonafide,real,-,zeroth_115,zeroth_korean,문체부 상황을 잘 아는 한 고위 관계자는 그때 차은택이 봐주면 통과된다는 소문이 막 돌았다,none
data/processed/ko_augmented/kss_01066_aug.wav,ko,bonafide,real,-,kss_speaker,kss,아들을 보고 싶은 마음이 간절합니다.,rawboost
data/processed/ko_augmented/zeroth_153_003_1000_aug.wav,ko,bonafide,real,-,zeroth_153,zeroth_korean,어느 정도 비계가 붙어있는 게 맛있는 부위인 걸 모르는 사람이 어디 있습니까,none
data/processed/ko_augmented/zeroth_119_003_2644_aug.wav,ko,bonafide,real,-,zeroth_119,zeroth_korean,자신이 꽃임을 잊어버린 마흔 일곱 명의 위안부 여성이 아직 살아 있다,rawboost
data/processed/ko_mlaad_augmented/northandsouth_42_f000184_aug.wav,ko,spoof,tts,OmniVoice,-,mlaad,,rawboost+codec
data/processed/ko_augmented/zeroth_113_003_1638_aug.wav,ko,bonafide,real,-,zeroth_113,zeroth_korean,네가 하루 이틀 정도 고민해 보고 나서 어떤 방법이 좋을지 그리고 왜 그렇게 생각하는지 함께 얘기해 볼까,rawboost
data/processed/ko_mlaad_augmented/northandsouth_50_f000030_aug.wav,ko,spoof,tts,Chatterbox Multilingual,-,mlaad,,rawboost
data/processed/ko_mlaad_augmented/silent_bullet_02_f000069_aug.wav,ko,spoof,tts,Fish-S2-Pro,-,mlaad,,none
data/processed/ko_mlaad_augmented/pink_fairy_book_12_f000193_aug.wav,ko,spoof,tts,tts_models_multilingual_multi-dataset_xtts_v2,-,mlaad,,rawboost
data/processed/ko_mlaad_augmented/silent_bullet_11_f000331_aug.wav,ko,spoof,tts,Chatterbox Multilingual,-,mlaad,,none
data/processed/ko_mlaad_augmented/jane_eyre_27_f000583_aug.wav,ko,spoof,tts,Qwen3-TTS-12Hz-1.7B-Base,-,mlaad,,rawboost+codec
data/processed/ko_mlaad_augmented/northandsouth_38_f000229_aug.wav,ko,spoof,tts,Qwen3-TTS-12Hz-0.6B-Base,-,mlaad,,none
data/processed/ko_augmented/zeroth_180_003_0514_aug.wav,ko,bonafide,real,-,zeroth_180,zeroth_korean,북한에선 남녀 모두에게 책임을 묻고 피해자인 여성은 사회적으로 매장된다는 것이 탈북 여성들의 공통된 증언이다,rawboost
data/processed/ko_augmented/zeroth_175_003_0059_aug.wav,ko,bonafide,real,-,zeroth_175,zeroth_korean,지난 이천 팔 년부터 사 대강을 기록하고 있는 이철재 에코큐레이터가 십 이 일 금강을 찾았다,rawboost
data/processed/ko_augmented/zeroth_142_003_0128_aug.wav,ko,bonafide,real,-,zeroth_142,zeroth_korean,경비병과 여호와의 증인은 만화 영화에 나오는 톰과 제리 같았는데 증인들이 출판물을 숨기면 경비병들은 그것을 찾으려고 애썼습니다,rawboost+codec
data/processed/ko_augmented/zeroth_106_003_2072_aug.wav,ko,bonafide,real,-,zeroth_106,zeroth_korean,안민석 우선 성난 민심을 조롱하는 대통령의 말씀이었다고 생각 되는데요,rawboost
data/processed/ko_augmented/zeroth_197_003_1548_aug.wav,ko,bonafide,real,-,zeroth_197,zeroth_korean,다수의 선정작을 가려낸 재난안전교육 및 한글 활용 등 여타 부문과 대조를 이루는 부분이다,none
data/processed/ko_augmented/zeroth_202_003_1758_aug.wav,ko,bonafide,real,-,zeroth_202,zeroth_korean,그게 한 천 육백 억 원이 넘는 것으로 그렇게 알려지고 있습니다,codec
data/processed/ko_mlaad_augmented/skyisland_15_baum_64kb_f000078_aug.wav,ko,spoof,tts,tts_models_multilingual_multi-dataset_xtts_v2,-,mlaad,,rawboost
data/processed/ko_mlaad_augmented/wives_and_daughters_41_f000006_aug.wav,ko,spoof,tts,Qwen3-TTS-12Hz-0.6B-Base,-,mlaad,,rawboost+codec
data/processed/ko_augmented/zeroth_110_003_1335_aug.wav,ko,bonafide,real,-,zeroth_110,zeroth_korean,이투스의 이천 십 오 년 개별기준 매출액은 이천 구십 일 억원으로 전년 대비 이십 구 쩜 육 삼 퍼센트의 성장했다,none
data/processed/ko_augmented/zeroth_208_003_1742_aug.wav,ko,bonafide,real,-,zeroth_208,zeroth_korean,한편 야권에서는 검사 출신보다는 판사 출신을 선호하는 기류가 강한 것으로 알려졌다,rawboost+codec
data/processed/ko_mlaad_augmented/pink_fairy_book_04_f000012_aug.wav,ko,spoof,tts,Chatterbox Multilingual,-,mlaad,,rawboost
data/processed/ko_augmented/kss_09080_aug.wav,ko,bonafide,real,-,kss_speaker,kss,요즘 살이 쪄서 고민이에요.,codec
data/processed/ko_mlaad_augmented/silent_bullet_03_f000163_aug.wav,ko,spoof,tts,MOSS-TTS-8B,-,mlaad,,rawboost
